iter	Passed	Remaining
0	161	160998
1	167	83816
2	173	57792
3	179	44582
4	183	36442
5	186	30977
6	192	27317
7	197	24472
8	201	22207
9	205	20322
10	211	19051
11	214	17636
12	216	16399
13	218	15367
14	220	14461
15	221	13650
16	223	12929
17	225	12286
18	226	11703
19	227	11170
20	230	10738
21	232	10320
22	236	10037
23	238	9681
24	239	9358
25	241	9035
26	243	8762
27	244	8492
28	246	8248
29	248	8026
30	251	7852
31	253	7655
32	256	7511
33	257	7328
34	259	7162
35	261	6997
36	263	6853
37	264	6706
38	266	6557
39	267	6419
40	269	6296
41	271	6182
42	273	6082
43	275	5976
44	277	5881
45	278	5785
46	280	5683
47	281	5585
48	283	5495
49	284	5407
50	286	5327
51	287	5249
52	291	5205
53	292	5132
54	295	5068
55	296	5003
56	298	4932
57	299	4867
58	301	4804
59	302	4744
60	305	4702
61	307	4655
62	309	4597
63	310	4540
64	313	4505
65	315	4459
66	316	4407
67	317	4358
68	319	4314
69	321	4266
70	322	4218
71	323	4174
72	326	4144
73	327	4103
74	329	4068
75	331	4032
76	333	3993
77	334	3958
78	336	3927
79	338	3890
80	339	3852
81	341	3818
82	341	3777
83	344	3753
84	345	3724
85	348	3709
86	350	3678
87	353	3662
88	355	3634
89	356	3607
90	358	3576
91	359	3548
92	361	3525
93	362	3498
94	365	3480
95	366	3453
96	368	3431
97	369	3404
98	371	3377
99	372	3352
100	373	3325
101	374	3300
102	376	3278
103	378	3262
104	380	3243
105	382	3222
106	383	3198
107	384	3175
108	385	3153
109	387	3131
110	388	3110
111	389	3088
112	391	3071
113	392	3052
114	394	3035
115	398	3037
116	399	3017
117	401	3000
118	402	2982
119	404	2963
120	406	2952
121	410	2956
122	415	2959
123	417	2946
124	418	2930
125	421	2924
126	425	2925
127	429	2928
128	432	2918
129	434	2904
130	437	2899
131	439	2893
132	441	2878
133	443	2864
134	444	2849
135	446	2835
136	447	2820
137	449	2805
138	450	2792
139	452	2778
140	453	2763
141	454	2745
142	455	2730
143	456	2715
144	458	2701
145	459	2687
146	460	2673
147	462	2659
148	463	2647
149	473	2681
150	493	2774
151	495	2764
152	499	2764
153	501	2752
154	502	2740
155	504	2729
156	506	2717
157	507	2706
158	509	2695
159	511	2684
160	512	2671
161	515	2665
162	517	2656
163	519	2649
164	521	2639
165	524	2636
166	526	2625
167	529	2621
168	530	2610
169	532	2600
170	534	2589
171	535	2579
172	551	2638
173	553	2628
174	555	2619
175	557	2608
176	558	2598
177	560	2588
178	561	2576
179	563	2564
180	564	2553
181	572	2572
182	573	2561
183	575	2550
184	576	2539
185	577	2527
186	578	2517
187	581	2510
188	583	2504
189	585	2494
190	587	2487
191	589	2479
192	591	2474
193	594	2470
194	596	2461
195	598	2453
196	599	2444
197	601	2437
198	603	2429
199	605	2420
200	606	2412
201	608	2402
202	609	2393
203	611	2384
204	612	2376
205	614	2367
206	615	2358
207	616	2349
208	619	2343
209	621	2336
210	622	2327
211	623	2318
212	625	2311
213	627	2303
214	628	2294
215	629	2286
216	631	2278
217	634	2275
218	636	2269
219	638	2263
220	639	2255
221	641	2248
222	643	2242
223	645	2236
224	647	2229
225	648	2221
226	650	2215
227	652	2208
228	655	2205
229	656	2199
230	658	2191
231	660	2184
232	661	2177
233	663	2171
234	665	2166
235	667	2160
236	669	2155
237	670	2147
238	672	2139
239	673	2132
240	675	2125
241	676	2118
242	677	2110
243	679	2105
244	681	2101
245	683	2094
246	684	2087
247	686	2080
248	687	2074
249	688	2066
250	690	2059
251	691	2053
252	693	2047
253	695	2043
254	697	2037
255	698	2030
256	700	2025
257	701	2018
258	703	2011
259	704	2005
260	722	2045
261	724	2039
262	727	2038
263	729	2032
264	730	2026
265	732	2022
266	734	2016
267	735	2009
268	736	2002
269	738	1997
270	741	1994
271	742	1988
272	744	1983
273	746	1977
274	747	1970
275	749	1967
276	751	1962
277	753	1957
278	755	1953
279	757	1947
280	758	1941
281	760	1935
282	762	1932
283	764	1926
284	766	1923
285	769	1920
286	770	1915
287	772	1910
288	774	1904
289	775	1898
290	776	1892
291	778	1887
292	779	1881
293	781	1876
294	784	1873
295	786	1869
296	789	1867
297	790	1862
298	792	1858
299	795	1855
300	796	1850
301	798	1846
302	800	1840
303	801	1834
304	802	1829
305	804	1824
306	805	1818
307	807	1813
308	809	1811
309	811	1806
310	813	1801
311	814	1795
312	815	1790
313	817	1785
314	818	1780
315	820	1775
316	822	1772
317	824	1767
318	826	1763
319	828	1761
320	830	1756
321	832	1752
322	833	1746
323	834	1741
324	836	1736
325	837	1731
326	839	1727
327	841	1724
328	843	1720
329	845	1716
330	846	1711
331	847	1706
332	849	1701
333	850	1695
334	851	1690
335	854	1687
336	857	1686
337	859	1682
338	861	1679
339	864	1678
340	868	1677
341	873	1681
342	877	1680
343	881	1680
344	886	1683
345	891	1685
346	894	1682
347	896	1679
348	900	1680
349	905	1680
350	907	1677
351	911	1678
352	919	1684
353	921	1682
354	924	1679
355	926	1676
356	934	1682
357	936	1679
358	939	1677
359	948	1686
360	951	1684
361	954	1682
362	958	1682
363	963	1684
364	967	1684
365	971	1682
366	977	1685
367	981	1686
368	984	1683
369	988	1683
370	992	1682
371	998	1686
372	1002	1684
373	1009	1689
374	1014	1690
375	1018	1690
376	1026	1695
377	1028	1693
378	1031	1689
379	1033	1686
380	1037	1685
381	1040	1682
382	1043	1680
383	1047	1679
384	1051	1680
385	1055	1678
386	1064	1685
387	1070	1689
388	1076	1690
389	1080	1690
390	1085	1690
391	1088	1687
392	1090	1684
393	1093	1681
394	1096	1679
395	1101	1679
396	1103	1676
397	1109	1678
398	1114	1679
399	1117	1676
400	1120	1673
401	1123	1670
402	1127	1670
403	1129	1666
404	1163	1709
405	1182	1730
406	1201	1750
407	1207	1751
408	1210	1748
409	1213	1745
410	1215	1741
411	1219	1741
412	1222	1737
413	1225	1734
414	1228	1732
415	1231	1728
416	1235	1727
417	1238	1724
418	1240	1720
419	1243	1717
420	1246	1713
421	1251	1713
422	1255	1712
423	1257	1708
424	1261	1706
425	1278	1722
426	1283	1722
427	1288	1721
428	1291	1718
429	1295	1716
430	1298	1713
431	1301	1710
432	1303	1707
433	1307	1704
434	1310	1701
435	1312	1698
436	1315	1694
437	1325	1700
438	1349	1724
439	1359	1729
440	1369	1735
441	1388	1752
442	1396	1755
443	1402	1755
444	1406	1753
445	1410	1752
446	1413	1748
447	1415	1744
448	1420	1743
449	1423	1740
450	1426	1736
451	1428	1732
452	1430	1727
453	1433	1723
454	1436	1720
455	1438	1716
456	1441	1713
457	1443	1708
458	1445	1703
459	1450	1702
460	1453	1699
461	1458	1698
462	1460	1693
463	1464	1692
464	1469	1690
465	1472	1687
466	1486	1696
467	1489	1692
468	1499	1697
469	1504	1696
470	1507	1693
471	1512	1691
472	1516	1689
473	1517	1684
474	1519	1679
475	1521	1674
476	1523	1669
477	1527	1668
478	1529	1663
479	1531	1658
480	1533	1654
481	1534	1649
482	1536	1644
483	1537	1639
484	1539	1634
485	1541	1630
486	1543	1625
487	1545	1621
488	1547	1617
489	1549	1612
490	1551	1608
491	1552	1603
492	1554	1598
493	1555	1593
494	1558	1589
495	1560	1585
496	1561	1580
497	1563	1576
498	1565	1571
499	1566	1566
500	1567	1561
501	1568	1556
502	1570	1551
503	1572	1547
504	1574	1543
505	1576	1539
506	1578	1534
507	1579	1529
508	1580	1524
509	1581	1519
510	1583	1515
511	1585	1510
512	1587	1506
513	1589	1502
514	1590	1498
515	1592	1493
516	1593	1488
517	1594	1483
518	1595	1478
519	1597	1474
520	1598	1469
521	1600	1465
522	1601	1460
523	1603	1456
524	1604	1451
525	1605	1446
526	1606	1442
527	1608	1437
528	1609	1432
529	1610	1428
530	1612	1423
531	1614	1420
532	1616	1415
533	1617	1411
534	1618	1406
535	1620	1402
536	1621	1397
537	1622	1393
538	1623	1388
539	1624	1384
540	1626	1379
541	1627	1375
542	1629	1371
543	1630	1366
544	1631	1362
545	1632	1357
546	1634	1353
547	1635	1348
548	1636	1344
549	1637	1340
550	1639	1335
551	1640	1331
552	1642	1327
553	1644	1323
554	1645	1319
